SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore,anomaly_cluster
123424475948672,44.8000069221394,0.7794933038508934,22.499346672897467,176.56737208740543,-42.431644505901296,14.900652,16.802856,13.604232,3.1986246,34.41306,0.1315169265502244,-1,1,parallax,8.244916243732478,1
83154862613888,44.937315650530685,0.6237932770156848,15.672103956026024,-98.23068091157214,-160.62516249378876,9.542494,9.953431,8.964564,0.9888668,-37.740585,0.127237015473294,-1,2,pmdec,7.23014824820212,0
1435244927007872,42.83483697311728,2.1727002563146143,2.020616111720801,-9.320772010782022,-23.84699372536465,6.132085,7.2153497,5.096483,2.1188664,-13.892095,0.1182582595835272,-1,3,phot_rp_mean_mag,5.407007565256448,0
132667245587072,45.0727955724553,0.969970782487376,5.737753870967776,29.432375835260864,-93.78045808765803,7.4750457,8.025092,6.7722306,1.2528615,-73.29518,0.1168126970564924,-1,4,phot_rp_mean_mag,4.209719808717175,0
1753553543188992,45.46359917458231,3.138095461386887,4.017941960688069,1.82787636211724,9.885086354334051,8.163041,8.197672,8.071199,0.12647247,1.1090981,0.10375792069634,-1,5,phot_bp_mean_mag,3.640042173008829,0
1195551392247936,43.88154987112852,2.018217023833527,6.7012607524697705,5.89714509995766,-11.5674299210501,6.589071,6.56363,6.605023,-0.041392803,25.450867,0.0981953782357123,-1,6,phot_bp_mean_mag,4.708380419900095,0
92603790642688,44.41500318632742,0.5679005443548504,10.969874447270998,124.6153679009258,66.85767871994857,9.920633,10.287307,9.385546,0.90176105,45.771442,0.097326025488807,-1,7,pmra,5.130045970112984,0
290653322568704,44.44850159775912,0.7917886784873427,17.045755084229523,87.42139824569792,-52.41267926194701,15.254455,16.938892,14.001384,2.9375086,35.11118,0.0939831983194242,-1,8,parallax,5.9940967721334655,1
755540582699392,47.62704817309152,2.463640960160351,7.71408533173123,83.88693589573188,-92.4246627012448,9.957337,10.2756405,9.471386,0.80425453,65.57477,0.0826845292636345,-1,9,pmdec,3.949427566108921,0
1604569717638528,43.790130857726965,2.993515477317277,1.6689507256624774,1.9170700258484616,-11.403294262901117,7.9804044,8.897065,7.0384564,1.8586087,-11.099302,0.0821820525123253,-1,10,phot_rp_mean_mag,4.019506860887279,0
1292480214037760,44.11843694271478,2.1668869996551168,18.92895612358451,77.63185348435385,108.76845623777496,10.8086815,11.542472,9.979353,1.5631189,7.728459,0.0817502473275717,-1,11,parallax,6.771336046362109,1
1240631368988288,43.7474352249586,1.985125132516976,14.787355923680485,-29.84389679134609,-160.08675580456529,12.994784,14.045844,11.977854,2.0679903,-46.3987,0.0747645337913572,-1,12,pmdec,7.204248702508382,2
1155453577587072,43.726188251009376,1.6485541236514143,20.86394458857037,119.2185469475412,9.274773265491536,13.044759,14.452714,11.878026,2.574688,22.52529,0.0739361341297063,-1,13,parallax,7.569949151780486,1
452212812313984,45.0349266115007,1.6364715669582413,24.114540315165154,110.20616208545196,10.80673641248456,13.457018,14.864936,12.292612,2.5723238,39.94661,0.0729784629897252,-1,14,parallax,8.911542858745838,1
154829276705920,45.79773407480096,0.9005394643362447,7.864939110122796,172.5425223352011,-32.347243830374055,15.453691,16.789482,14.308687,2.480795,8.6005125,0.0691313046357833,-1,15,pmra,7.271182813810164,1
339993906853248,44.36039043546913,1.2086815246994866,8.97081292097879,53.473668051823566,-118.68185489872218,15.670967,17.023966,14.408113,2.6158533,-25.202927,0.0690186269824203,-1,16,pmdec,5.212505018004336,2
1301929142132608,44.65574879321864,2.120449164372491,4.310796473680449,8.970436923694882,-24.580801303692954,7.068493,7.7789507,6.252968,1.5259829,16.90616,0.0674877189389215,-1,17,phot_rp_mean_mag,4.580722430716305,0
77863462880768,44.660730046322826,0.5174706461824936,15.226840636607095,104.7048441804498,14.87305283758688,14.05522,15.464056,12.887465,2.5765915,-23.940832,0.0652249269237676,-1,18,parallax,5.2433900150693,1
673008491088640,46.32375593978757,1.895340177005703,5.56693233635593,61.6735813624052,-27.210041492302445,8.055367,8.554262,7.382044,1.1722183,-12.3359165,0.0641820186237208,-1,19,phot_rp_mean_mag,3.774020472138333,0
250246270117248,45.79434455067139,1.368091554630673,4.800003764568492,47.42280728969473,-19.006404516835023,7.408689,7.9985847,6.677944,1.3206406,21.995173,0.061587916864838,-1,20,phot_rp_mean_mag,4.277085676814325,0
384317969303168,43.867137016382586,1.3556393106569646,1.614464343506432,12.335511227354557,-4.150666255808858,7.8867545,8.715588,6.9928923,1.7226954,36.25969,0.0551139012942396,-1,21,phot_rp_mean_mag,4.052061488486167,0
596798591393792,46.43770275725954,1.7117729330493443,10.972149047948747,107.78741650268344,-26.06032150160756,14.92821,16.396214,13.640143,2.7560701,51.444305,0.0518686812467799,-1,22,pmra,4.37826032441743,1
347278171374336,44.714033802442366,1.38742216946027,6.509961732673614,-24.11595050280147,-121.81034523600606,15.55002,16.917463,14.39873,2.518733,12.115913,0.0510818250821586,-1,23,pmdec,5.362998093340685,2
1611029348487680,43.92070343473486,3.0634098423356084,11.831171660416295,57.68791362828385,-50.89474394941748,14.417983,15.807238,13.258037,2.549201,-9.581694,0.0489849808644331,-1,24,parallax,3.841921326692184,2
1166173815955456,43.92833383907752,1.63438539908412,11.895246284149833,48.08083272695156,-144.97364166683934,13.219018,14.225509,12.221742,2.003767,-48.302563,0.045639901476483,-1,25,pmdec,6.477246609073676,2
44358422235136,45.501453861130194,0.4976972037485959,9.558267252454172,25.16936732065038,-23.70279399725389,9.365663,9.697104,8.869436,0.8276682,40.74684,0.0454871444276404,-1,26,parallax,2.90384273841749,0
1811277903614976,45.10976661513767,3.376439664926681,2.745629798093961,49.70906515925044,-97.76934421432838,12.515791,12.879597,11.979311,0.9002857,-122.16464,0.0446148199391849,-1,27,pmdec,4.206528426549998,2
120190364960512,45.00799417061545,0.8885621585799379,3.916101739365879,-59.652160273897564,-64.40382928397453,9.314005,9.829249,8.631512,1.1977377,-5.3862348,0.0443229405785322,-1,28,pmra,3.102072091750585,0
