SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore,anomaly_cluster,local_density_score,mean_neighbor_distance,nearest_neighbor_ids,emergent_structure_rank
613978460597248,46.93593705501945,1.8475097193233243,5.764100398709869,31.24028028509936,-13.334974544529723,8.761382,8.955068,8.420158,0.53490925,21.620523,0.5581809313939637,-1,36,phot_bp_mean_mag,3.144855932482295,1,0.6441919915818024,1.5523322442178655,"695170522295168,673008491088640,1066152617449600,250246270117248,774472798501120",1
673008491088640,46.32375593978757,1.895340177005703,5.56693233635593,61.6735813624052,-27.210041492302445,8.055367,8.554262,7.382044,1.1722183,-12.3359165,0.5728621510051637,-1,30,phot_rp_mean_mag,3.7740204721383326,1,0.6257888399858997,1.5979831152340558,"250246270117248,695170522295168,613978460597248,1066152617449600,1301929142132608",2
695170522295168,46.38030666104432,2.114453435851673,5.552260708543552,60.77519960463076,-29.254848275595965,9.633048,9.86673,9.239251,0.6274786,16.200611,0.5345219807528394,-1,49,phot_bp_mean_mag,2.548810431303387,1,0.6220440926880526,1.6076030811225235,"613978460597248,673008491088640,1066152617449600,250246270117248,774472798501120",3
1066152617449600,46.26169849925982,2.941159994364313,4.473279872561656,14.944683447072103,-4.274779955404866,8.25175,8.599608,7.732424,0.86718464,11.552453,0.5514433097826035,-1,40,phot_rp_mean_mag,3.523681051012961,1,0.5936935231429598,1.6843707418357823,"1753553543188992,613978460597248,695170522295168,673008491088640,1301929142132608",4
250246270117248,45.79434455067139,1.368091554630673,4.800003764568492,47.42280728969473,-19.006404516835023,7.408689,7.9985847,6.677944,1.3206406,21.995173,0.613007255498986,-1,15,phot_rp_mean_mag,4.277085676814324,1,0.5895201198413421,1.6962949462497412,"673008491088640,1301929142132608,613978460597248,695170522295168,384317969303168",5
1301929142132608,44.65574879321864,2.120449164372491,4.310796473680449,8.970436923694882,-24.580801303692954,7.068493,7.7789507,6.252968,1.5259829,16.90616,0.6047016302866218,-1,18,phot_rp_mean_mag,4.580722430716304,1,0.5664358563290746,1.7654249617603253,"384317969303168,250246270117248,1604569717638528,1435244927007872,673008491088640",6
675379313032192,46.38608119407246,1.9707835108576768,6.795771505580588,60.09475239524902,-84.71188543236437,15.323047,16.742218,14.15236,2.589858,1.328567,0.5706214014125198,-1,31,bp_rp,3.741583735178621,0,0.5416296169138387,1.8462801308713075,"896106271727872,188020783957632,596798591393792,339993906853248,1036706321717888",7
1411674146537728,42.98368757524648,1.9919651698598573,9.200918713206,-25.090822947553008,-61.89931807082628,15.242869,16.434935,14.159734,2.2752008,5.2444015,0.5610600809084039,-1,34,bp_rp,2.9508630962540074,0,0.532654247763032,1.8773904539372954,"1425830358704768,1261796967786112,1497229894979968,347278171374336,1611029348487680",8
44358422235136,45.501453861130194,0.4976972037485959,9.558267252454172,25.16936732065038,-23.70279399725389,9.365663,9.697104,8.869436,0.8276682,40.74684,0.5797619012856708,-1,25,parallax,2.90384273841749,1,0.5264744658543781,1.8994273509098765,"86693915665280,115727894578176,250246270117248,332469124171904,75458281197696",9
86693915665280,44.856484140123165,0.6802329091064019,7.9457636260696125,39.20072367924587,43.60302174924652,9.868173,10.166245,9.39827,0.7679758,31.442774,0.5575921073407458,-1,37,pmdec,2.594055825823096,1,0.5258849397845091,1.901556641666221,"44358422235136,92603790642688,332469124171904,75458281197696,250246270117248",10
75458281197696,44.61949163493268,0.4372530289318131,2.4718649417171226,1.1539674655829728,2.8237307260810605,8.773607,9.278578,8.107946,1.1706314,-15.516421,0.5498790087049304,-1,41,phot_rp_mean_mag,3.255378179559562,1,0.49753300050688265,2.00991692808459,"120190364960512,332469124171904,86693915665280,384317969303168,44358422235136",11
896106271727872,46.18846750540428,2.4374752905998016,7.386047122171779,56.24686866448806,-94.55636660803516,14.737985,15.313015,13.047272,2.2657433,-15.073964,0.5493494409558477,-1,42,pmdec,4.051971170868113,0,0.4956415685479245,2.017587029532638,"675379313032192,188020783957632,1611029348487680,1036706321717888,339993906853248",12
188020783957632,46.272348511528605,1.1691840238061104,8.74578932917776,15.867402097833825,-100.26056260259118,14.104657,15.191409,13.067412,2.1239967,-1.7357773,0.5467162211519753,-1,43,pmdec,4.326366136168632,0,0.49538135665525795,2.018646819394572,"675379313032192,896106271727872,347278171374336,339993906853248,115727894578176",13
332469124171904,44.819887017386776,1.2445538835450447,1.9900866479524288,12.403522019116712,-5.013637072151506,8.631828,8.641413,8.576149,0.06526375,15.14028,0.5538052197146874,-1,38,phot_bp_mean_mag,3.3499238761634738,1,0.4938792785335096,2.024786306015583,"75458281197696,1195551392247936,86693915665280,250246270117248,613978460597248",14
384317969303168,43.867137016382586,1.3556393106569646,1.614464343506432,12.335511227354557,-4.150666255808858,7.8867545,8.715588,6.9928923,1.7226954,36.25969,0.58397445835994,-1,24,phot_rp_mean_mag,4.052061488486166,1,0.4936361701048947,2.0257834829789974,"1301929142132608,250246270117248,75458281197696,1435244927007872,332469124171904",15
1261796967786112,43.68908377736916,2.264956257711477,11.78846928230527,-37.93502294435999,3.663208385197162,13.802598,15.028177,12.706819,2.3213587,15.258974,0.5466879211372961,-1,44,parallax,3.8242970982230777,0,0.4896473318985801,2.0422862228658865,"1425830358704768,1411674146537728,1611029348487680,535294659636864,347278171374336",16
339993906853248,44.36039043546913,1.2086815246994866,8.97081292097879,53.473668051823566,-118.68185489872218,15.670967,17.023966,14.408113,2.6158533,-25.202927,0.6186749622152127,-1,12,pmdec,5.212505018004336,0,0.48401535501878507,2.066050156530065,"347278171374336,1166173815955456,188020783957632,675379313032192,384661566686720",17
1155453577587072,43.726188251009376,1.6485541236514143,20.86394458857037,119.2185469475412,9.274773265491536,13.044759,14.452714,11.878026,2.574688,22.52529,0.6177325884841668,-1,14,parallax,7.569949151780486,2,0.4835524852807872,2.068027836562231,"452212812313984,535294659636864,290653322568704,77863462880768,123424475948672",18
347278171374336,44.714033802442366,1.38742216946027,6.509961732673614,-24.11595050280147,-121.81034523600606,15.55002,16.917463,14.39873,2.518733,12.115913,0.5939956198903111,-1,22,pmdec,5.362998093340685,0,0.47413735655165673,2.1090934645445447,"339993906853248,188020783957632,1411674146537728,675379313032192,384661566686720",19
1753553543188992,45.46359917458231,3.138095461386887,4.017941960688069,1.82787636211724,9.885086354334051,8.163041,8.197672,8.071199,0.12647247,1.1090981,0.5944787239266723,-1,21,phot_bp_mean_mag,3.640042173008829,1,0.4697158956341007,2.128946474441883,"1066152617449600,695170522295168,1195551392247936,613978460597248,1301929142132608",20
452212812313984,45.0349266115007,1.6364715669582413,24.114540315165154,110.20616208545196,10.80673641248456,13.457018,14.864936,12.292612,2.5723238,39.94661,0.6210451483243908,-1,11,parallax,8.911542858745838,2,0.4696632743958036,2.129185002352965,"1155453577587072,535294659636864,123424475948672,290653322568704,77863462880768",21
1425830358704768,42.7529857336048,2.016595544570301,12.229727789012838,-33.510791674995104,-1.740992061758096,13.82362,14.997701,12.702963,2.2947378,16.642065,0.5653498573004919,-1,32,parallax,4.00641437318915,0,0.4689990223960301,2.1322006064974595,"1261796967786112,1411674146537728,1611029348487680,535294659636864,1213006138643456",22
120190364960512,45.00799417061545,0.8885621585799379,3.916101739365879,-59.652160273897564,-64.40382928397453,9.314005,9.829249,8.631512,1.1977377,-5.3862348,0.5796472035463137,-1,26,pmra,3.102072091750585,1,0.45234197287797356,2.210716802681748,"75458281197696,115727894578176,332469124171904,44358422235136,384317969303168",23
535294659636864,45.01823006813042,2.0230550711534843,17.267511064863456,58.85322874422934,5.694771887544315,12.534505,13.582236,11.521283,2.0609531,12.035548,0.5341821494107749,-1,50,parallax,6.085620435216623,2,0.4505103213038182,2.219704971698446,"1155453577587072,452212812313984,1292480214037760,1261796967786112,1611029348487680",24
1604569717638528,43.790130857726965,2.993515477317277,1.6689507256624774,1.9170700258484616,-11.403294262901117,7.9804044,8.897065,7.0384564,1.8586087,-11.099302,0.5964764174123142,-1,20,phot_rp_mean_mag,4.019506860887278,1,0.449202023832636,2.226169845512832,"1301929142132608,1435244927007872,384317969303168,1066152617449600,1753553543188992",25
115727894578176,45.10561087170264,0.8123211433603595,10.390628064061833,8.531314381476955,-83.05072619114377,10.882218,11.367058,10.239973,1.1270847,9.915567,0.5466704082842411,-1,45,pmdec,3.4985031964215434,1,0.44727257545750015,2.235773116598276,"44358422235136,120190364960512,86693915665280,188020783957632,75458281197696",26
774472798501120,46.75561090023727,2.134491835812317,12.864794696071058,16.606438520641703,46.134920598021466,9.742869,10.144306,9.175891,0.96841526,6.408355,0.5764262583484938,-1,27,parallax,4.268520718509362,1,0.44520224746726755,2.2461701523038187,"613978460597248,695170522295168,1066152617449600,673008491088640,250246270117248",27
290653322568704,44.44850159775912,0.7917886784873427,17.045755084229523,87.42139824569792,-52.41267926194701,15.254455,16.938892,14.001384,2.9375086,35.11118,0.6084269451186824,-1,16,parallax,5.9940967721334655,2,0.44495392492914576,2.24742370832844,"123424475948672,77863462880768,1155453577587072,452212812313984,596798591393792",28
1195551392247936,43.88154987112852,2.018217023833527,6.7012607524697705,5.89714509995766,-11.5674299210501,6.589071,6.56363,6.605023,-0.041392803,25.450867,0.6397669757197583,-1,7,phot_bp_mean_mag,4.708380419900095,1,0.4277319475868719,2.3379128111455207,"332469124171904,1301929142132608,1753553543188992,384317969303168,250246270117248",29
1166173815955456,43.92833383907752,1.63438539908412,11.895246284149833,48.08083272695156,-144.97364166683934,13.219018,14.225509,12.221742,2.003767,-48.302563,0.6314245967325884,-1,10,pmdec,6.477246609073676,0,0.4272319466334415,2.340648932926258,"1240631368988288,339993906853248,188020783957632,896106271727872,1611029348487680",30
77863462880768,44.660730046322826,0.5174706461824936,15.226840636607095,104.7048441804498,14.87305283758688,14.05522,15.464056,12.887465,2.5765915,-23.940832,0.6038200395509421,-1,19,parallax,5.2433900150693,2,0.4244842621621357,2.355799941571488,"290653322568704,320683733915264,1155453577587072,154829276705920,1213006138643456",31
596798591393792,46.43770275725954,1.7117729330493443,10.972149047948747,107.78741650268344,-26.06032150160756,14.92821,16.396214,13.640143,2.7560701,51.444305,0.5918487772523259,-1,23,pmra,4.37826032441743,2,0.4194417329005053,2.3841213726741586,"675379313032192,154829276705920,290653322568704,896106271727872,384661566686720",32
1611029348487680,43.92070343473486,3.0634098423356084,11.831171660416295,57.68791362828385,-50.89474394941748,14.417983,15.807238,13.258037,2.549201,-9.581694,0.5592141500220746,-1,35,parallax,3.841921326692184,0,0.41430962847234715,2.4136537779409344,"1411674146537728,1261796967786112,896106271727872,1213006138643456,535294659636864",33
123424475948672,44.8000069221394,0.7794933038508934,22.499346672897467,176.56737208740543,-42.431644505901296,14.900652,16.802856,13.604232,3.1986246,34.41306,0.662182644585814,-1,3,parallax,8.244916243732478,2,0.40492895976562593,2.4695689845902797,"290653322568704,452212812313984,1155453577587072,77863462880768,154829276705920",34
1435244927007872,42.83483697311728,2.1727002563146143,2.020616111720801,-9.320772010782022,-23.84699372536465,6.132085,7.2153497,5.096483,2.1188664,-13.892095,0.6401901209441745,-1,6,phot_rp_mean_mag,5.407007565256447,1,0.4017032248210491,2.489399980408618,"1604569717638528,1301929142132608,384317969303168,1195551392247936,250246270117248",35
384661566686720,43.83396053831552,1.383050405086603,5.29501651826468,90.43216622544804,-75.94618457805934,15.319402,16.45767,14.251204,2.2064667,43.7549,0.5747085399766488,-1,29,pmra,3.6029176979084094,0,0.4006324486471909,2.4960534359517887,"339993906853248,347278171374336,290653322568704,1497229894979968,675379313032192",36
154829276705920,45.79773407480096,0.9005394643362447,7.864939110122796,172.5425223352011,-32.347243830374055,15.453691,16.789482,14.308687,2.480795,8.6005125,0.6185335196291022,-1,13,pmra,7.271182813810164,2,0.39563500213212544,2.5275822275847233,"596798591393792,77863462880768,384661566686720,675379313032192,290653322568704",37
1213006138643456,43.40279969005572,1.8781951893461832,8.518939615345458,99.06111175901322,34.500661396100696,14.759233,15.583872,13.640015,1.9438572,-27.766453,0.5444726597069016,-1,46,pmra,3.988414258725708,2,0.39533138825377434,2.529523406721443,"320683733915264,1611029348487680,77863462880768,535294659636864,384661566686720",38
1497229894979968,42.38610306175436,2.36409349067239,4.63157585582022,13.296557161422646,-139.98305855718553,15.331843,16.284342,14.367404,1.9169378,20.25241,0.6047956331317728,-1,17,pmdec,6.237179318168923,0,0.38864861811296725,2.573018282825708,"1411674146537728,347278171374336,384661566686720,339993906853248,1611029348487680",39
