source_node,target_node,source_id,target_id,feature_distance,similarity_weight
0,2,613978460597248,695170522295168,0.9812122999064204,1.0191474363849211
0,1,613978460597248,673008491088640,1.4854893673800988,0.6731788338296818
0,3,613978460597248,1066152617449600,1.6642030822483755,0.6008882032884933
0,4,613978460597248,250246270117248,1.735626934300564,0.5761606830573941
0,26,613978460597248,774472798501120,1.8951295372538677,0.5276684154522332
1,4,673008491088640,250246270117248,1.3037359481070943,0.7670264837378625
1,2,673008491088640,695170522295168,1.3915723612722661,0.7186115705007364
1,0,673008491088640,613978460597248,1.4854893673800988,0.6731788338296818
1,3,673008491088640,1066152617449600,1.7974728779238947,0.556336628096696
1,5,673008491088640,1301929142132608,2.0116450214869257,0.4971055973187276
2,0,695170522295168,613978460597248,0.9812122999064204,1.0191474363849211
2,1,695170522295168,673008491088640,1.3915723612722661,0.7186115705007364
2,3,695170522295168,1066152617449600,1.664654691151235,0.6007251866198289
2,4,695170522295168,250246270117248,1.9228898064224633,0.5200506012666322
2,26,695170522295168,774472798501120,2.0776862468602335,0.48130462504177557
3,19,1066152617449600,1753553543188992,1.2487988136939117,0.8007694986842816
3,0,1066152617449600,613978460597248,1.6642030822483755,0.6008882032884933
3,2,1066152617449600,695170522295168,1.664654691151235,0.6007251866198289
3,1,1066152617449600,673008491088640,1.7974728779238947,0.556336628096696
3,5,1066152617449600,1301929142132608,2.046724244161495,0.4885856034842607
4,1,250246270117248,673008491088640,1.3037359481070943,0.7670264837378625
4,5,250246270117248,1301929142132608,1.5634892675071355,0.6395950524136211
4,0,250246270117248,613978460597248,1.735626934300564,0.5761606830573941
4,2,250246270117248,695170522295168,1.9228898064224633,0.5200506012666322
4,14,250246270117248,384317969303168,1.9557327749114475,0.5113172989826112
5,14,1301929142132608,384317969303168,1.506141277547572,0.6639483393135746
5,4,1301929142132608,250246270117248,1.5634892675071355,0.6395950524136211
5,24,1301929142132608,1604569717638528,1.7375105298863645,0.5755360803855536
5,34,1301929142132608,1435244927007872,2.0083387123736274,0.4979239775832514
5,1,1301929142132608,673008491088640,2.0116450214869257,0.4971055973187276
6,11,675379313032192,896106271727872,1.0657708696119967,0.9382879833853223
6,12,675379313032192,188020783957632,1.657867416319537,0.6031845430796844
6,31,675379313032192,596798591393792,2.0373499180800367,0.4908337007429199
6,16,675379313032192,339993906853248,2.185837595115369,0.4574905300532002
6,43,675379313032192,1036706321717888,2.284574855229599,0.4377182028903416
7,21,1411674146537728,1425830358704768,1.463568938153334,0.6832612895304214
7,15,1411674146537728,1261796967786112,1.6416863529076815,0.6091297513853579
7,38,1411674146537728,1497229894979968,1.9258648919727719,0.5192472245418651
7,18,1411674146537728,347278171374336,2.0201913858649836,0.4950026056919037
7,32,1411674146537728,1611029348487680,2.3356407007877054,0.4281480450577511
8,9,44358422235136,86693915665280,1.3860483473193423,0.7214755545384167
8,25,44358422235136,115727894578176,1.6971398625695857,0.589226628903373
8,4,44358422235136,250246270117248,2.0209472511052207,0.49481746713211966
8,13,44358422235136,332469124171904,2.1702013891644127,0.4607867292834822
8,10,44358422235136,75458281197696,2.2227999043908206,0.4498830497626864
9,8,86693915665280,44358422235136,1.3860483473193423,0.7214755545384167
9,44,86693915665280,92603790642688,1.7756179367112472,0.5631842184764198
9,13,86693915665280,332469124171904,1.9871132404484717,0.5032425830818814
9,10,86693915665280,75458281197696,2.039122697090964,0.4904069781706227
9,4,86693915665280,250246270117248,2.3198809867610786,0.4310565954487723
10,22,75458281197696,120190364960512,1.7771991625858503,0.5626831370685674
10,13,75458281197696,332469124171904,1.9239838328676766,0.5197548871858196
