SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore
1258807670551552,43.6383846838718,2.1767977222427,3.118409899436015,52.627136209175234,-41.26900754060264,12.628858,13.026959,12.063964,0.9629955,10.854211,-0.0971065268781318,1,278,pmra,1.9139849081279516
22990960742656,44.791517839617086,0.3128990949787372,1.9140790231374576,23.916584938248413,-13.446745489018133,14.405825,14.929481,13.7200575,1.2094231,-3.3599102,-0.0973778303322426,1,279,dec,2.2750502414252236
710902986848384,47.146092712977136,1.9977351650587245,5.536330074998809,40.83640162722181,-1.9849278587325343,12.894859,13.437904,12.201865,1.2360392,63.734573,-0.0975027185792214,1,280,ra,1.5568402111468485
1562891355013632,43.636620140365785,2.7051859695637965,2.3261310082795976,30.273673422341425,9.482860545716578,14.133617,14.615977,13.493812,1.1221657,49.618248,-0.097552050507177,1,281,ra,1.263636915222555
6944962925824,44.9758215564116,0.1878141021101549,0.9904046280949322,6.634086710148639,-14.514611083909193,14.281499,14.667728,13.732877,0.93485165,-24.225092,-0.0978322418769339,1,282,dec,2.4516033938416903
993962807180544,46.58053290909383,2.5439634875797754,2.842307213382832,21.92099433589906,4.883821975373312,15.072576,15.790144,14.248391,1.5417528,29.364098,-0.0979047090100573,1,283,phot_bp_mean_mag,1.3239233958388674
49001282700416,45.46308315546819,0.5773208152083917,0.9487481911949234,15.2413537467541,-14.684063827835528,13.874384,14.374517,13.214175,1.1603422,-89.27427,-0.0981189750709556,1,284,radial_velocity,2.6503265879679714
561579859479808,45.024404168398114,2.310458259976272,1.595369638051719,68.55921326482473,-53.46481738767366,13.739571,14.093352,13.217334,0.8760185,54.42993,-0.0984545753324295,1,285,pmra,2.6257475316998145
93703302269696,44.36106117509042,0.5999250001580111,1.6925369865430906,7.100633799565289,-11.521957885584314,14.875039,15.414003,14.187275,1.2267284,9.886666,-0.0987114529075897,1,286,dec,1.8699230777067775
1104051408852480,46.51649796745602,3.238623254433952,3.782694437703304,25.140999018956176,-27.99597896181912,13.859605,14.462463,13.122888,1.3395758,57.950054,-0.0987463373653015,1,287,dec,1.8545084818625008
972591049791872,45.4700126035228,2.6667418304826565,2.633468937230525,-24.80115395303388,-44.38159074682041,14.224146,14.820707,13.495996,1.3247108,-62.51242,-0.098931792219601,1,288,radial_velocity,1.9353567514120174
115380001589760,45.20504831704796,0.8345265047147441,4.295367992291609,-1.641182334367448,-11.477579542884945,11.758517,12.099678,11.252039,0.8476391,-4.350766,-0.0989951834131407,1,289,dec,1.5387911469990385
