SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank
83154862613888,44.937315650530685,0.6237932770156848,15.672103956026023,-98.23068091157214,-160.62516249378876,9.542494,9.953431,8.964564,0.9888668,-37.740585,0.69079939374155,-1,1
92603790642688,44.41500318632742,0.5679005443548504,10.969874447270998,124.61536790092579,66.85767871994857,9.920633,10.287307,9.385546,0.90176105,45.771442,0.6657403748548207,-1,2
123424475948672,44.8000069221394,0.7794933038508934,22.499346672897467,176.56737208740543,-42.431644505901296,14.900652,16.802856,13.604232,3.1986246,34.41306,0.662182644585814,-1,3
132667245587072,45.0727955724553,0.969970782487376,5.737753870967776,29.432375835260864,-93.78045808765805,7.4750457,8.025092,6.7722306,1.2528615,-73.29518,0.6584734247788637,-1,4
1240631368988288,43.7474352249586,1.9851251325169759,14.787355923680485,-29.84389679134609,-160.08675580456529,12.994784,14.045844,11.977854,2.0679903,-46.3987,0.6410240206725266,-1,5
1435244927007872,42.834836973117284,2.1727002563146143,2.020616111720801,-9.320772010782022,-23.84699372536465,6.132085,7.2153497,5.096483,2.1188664,-13.892095,0.6401901209441745,-1,6
1195551392247936,43.88154987112852,2.018217023833527,6.7012607524697705,5.89714509995766,-11.567429921050099,6.589071,6.56363,6.605023,-0.041392803,25.450867,0.6397669757197583,-1,7
1292480214037760,44.11843694271478,2.1668869996551168,18.92895612358451,77.63185348435385,108.76845623777496,10.8086815,11.542472,9.979353,1.5631189,7.728459,0.6368768998510451,-1,8
755540582699392,47.62704817309152,2.463640960160351,7.71408533173123,83.88693589573188,-92.42466270124481,9.957337,10.2756405,9.471386,0.80425453,65.57477,0.6345418722559044,-1,9
1166173815955456,43.92833383907752,1.63438539908412,11.895246284149833,48.080832726951556,-144.97364166683934,13.219018,14.225509,12.221742,2.003767,-48.302563,0.6314245967325884,-1,10
452212812313984,45.0349266115007,1.6364715669582413,24.114540315165154,110.20616208545195,10.80673641248456,13.457018,14.864936,12.292612,2.5723238,39.94661,0.6210451483243908,-1,11
